freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2022 
A,DOM,NR,I551-I553,AT11	2109561 
A,DOM,NR,I551-I553,AT12	4140165 
A,DOM,NR,I551-I553,AT13	2686824 
A,DOM,NR,I551-I553,AT21	5209647 
A,DOM,NR,I551-I553,AT22	6873290 
A,DOM,NR,I551-I553,AT31	4328288 
A,DOM,NR,I551-I553,AT32	5863768 
A,DOM,NR,I551-I553,AT33	3511272 
A,DOM,NR,I551-I553,AT34	869671 
A,DOM,NR,I551-I553,BE10	1540434 
A,DOM,NR,I551-I553,BE21	2533207 
A,DOM,NR,I551-I553,BE22	2837774 
A,DOM,NR,I551-I553,BE23	1391249 
A,DOM,NR,I551-I553,BE24	1109521 
A,DOM,NR,I551-I553,BE25	8538753 
A,DOM,NR,I551-I553,BE31	301653 
A,DOM,NR,I551-I553,BE32	755708 
A,DOM,NR,I551-I553,BE33	1641955 
A,DOM,NR,I551-I553,BE34	2007322 
A,DOM,NR,I551-I553,BE35	988767 
A,DOM,NR,I551-I553,BG31	577322 
A,DOM,NR,I551-I553,BG32	653135 
A,DOM,NR,I551-I553,BG33	1555900 
A,DOM,NR,I551-I553,BG34	3494569 
A,DOM,NR,I551-I553,BG41	2302717 
A,DOM,NR,I551-I553,BG42	2702693 
A,DOM,NR,I551-I553,CH01	8459616 
A,DOM,NR,I551-I553,CH02	6201135 
A,DOM,NR,I551-I553,CH03	1248341 
A,DOM,NR,I551-I553,CH04	2391144 
A,DOM,NR,I551-I553,CH05	8581873 
A,DOM,NR,I551-I553,CH06	3204159 
A,DOM,NR,I551-I553,CH07	3360077 
A,DOM,NR,I551-I553,CY00	1317451 
A,DOM,NR,I551-I553,CZ01	2588861 
A,DOM,NR,I551-I553,CZ02	2329939 
A,DOM,NR,I551-I553,CZ03	5170651 
A,DOM,NR,I551-I553,CZ04	3429058 
A,DOM,NR,I551-I553,CZ05	7953606 
A,DOM,NR,I551-I553,CZ06	4551238 
A,DOM,NR,I551-I553,CZ07	4092079 
A,DOM,NR,I551-I553,CZ08	2344213 
A,DOM,NR,I551-I553,DE11	8393011 
A,DOM,NR,I551-I553,DE12	7400886 
A,DOM,NR,I551-I553,DE13	12068843 
A,DOM,NR,I551-I553,DE14	7477616 
A,DOM,NR,I551-I553,DE21	27781216 
A,DOM,NR,I551-I553,DE22	8346954 
A,DOM,NR,I551-I553,DE23	3993612 
A,DOM,NR,I551-I553,DE24	3848872 
A,DOM,NR,I551-I553,DE25	6004124 
A,DOM,NR,I551-I553,DE26	4596221 
A,DOM,NR,I551-I553,DE27	12635560 
A,DOM,NR,I551-I553,DE30	16182540 
A,DOM,NR,I551-I553,DE40	10773392 
A,DOM,NR,I551-I553,DE50	2055103 
A,DOM,NR,I551-I553,DE60	11600343 
A,DOM,NR,I551-I553,DE71	12060327 
A,DOM,NR,I551-I553,DE72	1852381 
A,DOM,NR,I551-I553,DE73	5748686 
A,DOM,NR,I551-I553,DE80	28200705 
A,DOM,NR,I551-I553,DE91	5037572 
A,DOM,NR,I551-I553,DE92	4929772 
A,DOM,NR,I551-I553,DE93	8825607 
A,DOM,NR,I551-I553,DE94	15918239 
A,DOM,NR,I551-I553,DEA1	8101299 
A,DOM,NR,I551-I553,DEA2	9089555 
A,DOM,NR,I551-I553,DEA3	3547590 
A,DOM,NR,I551-I553,DEA4	3315244 
A,DOM,NR,I551-I553,DEA5	6583280 
A,DOM,NR,I551-I553,DEB1	5817337 
A,DOM,NR,I551-I553,DEB2	3999764 
A,DOM,NR,I551-I553,DEB3	4740548 
A,DOM,NR,I551-I553,DEC0	1912626 
A,DOM,NR,I551-I553,DED2	6791787 
A,DOM,NR,I551-I553,DED4	3404861 
A,DOM,NR,I551-I553,DED5	3834623 
A,DOM,NR,I551-I553,DEE0	6402142 
A,DOM,NR,I551-I553,DEF0	32701781 
A,DOM,NR,I551-I553,DEG0	6818734 
A,DOM,NR,I551-I553,DK01	6995103 
A,DOM,NR,I551-I553,DK02	2666054 
A,DOM,NR,I551-I553,DK03	6986906 
A,DOM,NR,I551-I553,DK04	4635500 
A,DOM,NR,I551-I553,DK05	3734329 
A,DOM,NR,I551-I553,EA20	1310545797 
A,DOM,NR,I551-I553,EE00	3031814 
